ID,Raw,Date,Data,Excel Date,
1621,"26th September 2014 @ Parr Hall, Warrington, UK",26th September 2014 ," Parr Hall, Warrington, UK",26/09/2014,
1622,"27th September 2014 @ City Hall, Hull, UK",27th September 2014 ," City Hall, Hull, UK",27/09/2014,
1623,"28th September 2014 @ Unity Hall, Wakefield, UK",28th September 2014 ," Unity Hall, Wakefield, UK",28/09/2014,
1624,"30th September 2014 @ Town Hall, Oxford, UK",30th September 2014 ," Town Hall, Oxford, UK",30/09/2014,
1625,"16th October 2014 @ G-Man Tavern, Chicago, IL, USA",16th October 2014 ," G-Man Tavern, Chicago, IL, USA",16/10/2014,
1626,"20th November 2014 @ McCluskys, Kingston-Upon-Thames, UK",20th November 2014 ," McCluskys, Kingston-Upon-Thames, UK",20/11/2014,
1627,"27th November 2014 @ The Jailhouse, Hereford, UK",27th November 2014 ," The Jailhouse, Hereford, UK",27/11/2014,
1628,"28th November 2014 @ The Jailhouse, Hereford, UK",28th November 2014 ," The Jailhouse, Hereford, UK",28/11/2014,
1629,"17th December 2014 @ Brixton Academy, London, UK",17th December 2014 ," Brixton Academy, London, UK",17/12/2014,
1630,"20th January 2015 @ Hotel Cafe, Los Angeles, CA, USA",20th January 2015 ," Hotel Cafe, Los Angeles, CA, USA",20/01/2015,
1631,"28th January 2015 @ Night & Day Cafe, Manchester, UK",28th January 2015 ," Night & Day Cafe, Manchester, UK",28/01/2015,
1632,"29th January 2015 @ 93 Feet East, London, UK",29th January 2015 ," 93 Feet East, London, UK",29/01/2015,
1633,"2nd February 2015 @ Occupied 12 Bar, London, UK",2nd February 2015 ," Occupied 12 Bar, London, UK",02/02/2015,
1634,"21st February 2015 @ Death Or Glory Records, Redditch, UK",21st February 2015 ," Death Or Glory Records, Redditch, UK",21/02/2015,
1635,"6th March 2015 @ McGreevy’s, Boston, MA, USA",6th March 2015 ," McGreevy’s, Boston, MA, USA",06/03/2015,
1636,"7th March 2015 @ Hard Rock Cafe, Boston, MA, USA",7th March 2015 ," Hard Rock Cafe, Boston, MA, USA",07/03/2015,
1637,"8th March 2015 @ Ritual, Ottawa, ON, Canada",8th March 2015 ," Ritual, Ottawa, ON, Canada",08/03/2015,
1638,"9th March 2015 @ The Horseshoe Tavern, Toronto, ON, Canada",9th March 2015 ," The Horseshoe Tavern, Toronto, ON, Canada",09/03/2015,
1639,"9th March 2015 @ The Horseshoe Tavern, Toronto, ON, Canada",9th March 2015 ," The Horseshoe Tavern, Toronto, ON, Canada",09/03/2015,
1640,"11th March 2015 @ Greene Street Club, Greensboro, NC, USA",11th March 2015 ," Greene Street Club, Greensboro, NC, USA",11/03/2015,
1641,"12th March 2015 @ Underbelly, Jacksonville, FL, USA",12th March 2015 ," Underbelly, Jacksonville, FL, USA",12/03/2015,
1642,"13th March 2015 @ Stardust Lounge, Norwegian Sky Cruise Ship, International Waters",13th March 2015 ," Stardust Lounge, Norwegian Sky Cruise Ship, International Waters",13/03/2015,
1643,"14th March 2015 @ 7th Floor Atrium, Norwegian Sky Cruise Ship, International Waters",14th March 2015 ," 7th Floor Atrium, Norwegian Sky Cruise Ship, International Waters",14/03/2015,
1644,"15th March 2015 @ Stardust Lounge, Norwegian Sky Cruise Ship, International Waters",15th March 2015 ," Stardust Lounge, Norwegian Sky Cruise Ship, International Waters",15/03/2015,
1645,"15th March 2015 @ Hot Tub, Norwegian Sky Cruise Ship, International Waters",15th March 2015 ," Hot Tub, Norwegian Sky Cruise Ship, International Waters",15/03/2015,
1646,"18th March 2015 @ Cedar Street Courtyard, Austin, TX, USA",18th March 2015 ," Cedar Street Courtyard, Austin, TX, USA",18/03/2015,
1647,"19th March 2015 @ Old Trinity Hall, Austin, TX, USA",19th March 2015 ," Old Trinity Hall, Austin, TX, USA",19/03/2015,
1648,"19th March 2015 @ Red 7, Austin, TX, USA",19th March 2015 ," Red 7, Austin, TX, USA",19/03/2015,
1649,"21st March 2015 @ Red 7, Austin, TX, USA",21st March 2015 ," Red 7, Austin, TX, USA",21/03/2015,
1650,"24th March 2015 @ Oran Mor, Glasgow, UK",24th March 2015 ," Oran Mor, Glasgow, UK",24/03/2015,
1651,"25th March 2015 @ The Glee Club, Birmingham, UK",25th March 2015 ," The Glee Club, Birmingham, UK",25/03/2015,
1652,"26th March 2015 @ Cecil Sharp House, London, UK",26th March 2015 ," Cecil Sharp House, London, UK",26/03/2015,
1653,"27th March 2015 @ Bridgewater Hall, Manchester, UK",27th March 2015 ," Bridgewater Hall, Manchester, UK",27/03/2015,
1654,"28th March 2015 @ The Library, Liverpool, UK",28th March 2015 ," The Library, Liverpool, UK",28/03/2015,
1655,"29th March 2015 @ The Royal Albert Hall, London, UK",29th March 2015 ," The Royal Albert Hall, London, UK",29/03/2015,
1656,"5th April 2015 @ Byron Bay Bluesfest, NSW, Australia",5th April 2015 ," Byron Bay Bluesfest, NSW, Australia",05/04/2015,
1657,"6th April 2015 @ Amplifier, Perth, WA, Australia",6th April 2015 ," Amplifier, Perth, WA, Australia",06/04/2015,
1658,"8th April 2015 @ Unibar, Adelaide, SA, Australia",8th April 2015 ," Unibar, Adelaide, SA, Australia",08/04/2015,
1659,"9th April 2015 @ Small Ballroom, Newcastle, NSW, Australia",9th April 2015 ," Small Ballroom, Newcastle, NSW, Australia",09/04/2015,
1660,"10th April 2015 @ The Basement, Canberra, ACT, Australia",10th April 2015 ," The Basement, Canberra, ACT, Australia",10/04/2015,
1661,"11th April 2015 @ Metro Theatre, Sydney, NSW, Australia",11th April 2015 ," Metro Theatre, Sydney, NSW, Australia",11/04/2015,
1662,"12th April 2015 @ The Corner Hotel, Melbourne, VIC, Australia",12th April 2015 ," The Corner Hotel, Melbourne, VIC, Australia",12/04/2015,
1663,"15th April 2015 @ The Corner Hotel, Melbourne, VIC, Australia",15th April 2015 ," The Corner Hotel, Melbourne, VIC, Australia",15/04/2015,
1664,"16th April 2015 @ Barwon Club, Geelong, VIC, Australia",16th April 2015 ," Barwon Club, Geelong, VIC, Australia",16/04/2015,
1665,"17th April 2015 @ The Tuning Fork, Auckland, New Zealand",17th April 2015 ," The Tuning Fork, Auckland, New Zealand",17/04/2015,
1666,"18th April 2015 @ Meow, Wellington, New Zealand",18th April 2015 ," Meow, Wellington, New Zealand",18/04/2015,
1667,"5th May 2015 @ Franklin Street Boxing Gym, Chicago, IL, USA",5th May 2015 ," Franklin Street Boxing Gym, Chicago, IL, USA",05/05/2015,
1668,"7th May 2015 @ The Cobra Lounge, Chicago, IL, USA",7th May 2015 ," The Cobra Lounge, Chicago, IL, USA",07/05/2015,
1669,"9th May 2015 @ The Masquerade, Atlanta, GA, USA",9th May 2015 ," The Masquerade, Atlanta, GA, USA",09/05/2015,
1670,"10th May 2015 @ Shaky Knees Festival, Atlanta, GA, USA",10th May 2015 ," Shaky Knees Festival, Atlanta, GA, USA",10/05/2015,
1671,"12th May 2015 @ Ziggy’s By The Sea, Wilmington, NC, USA",12th May 2015 ," Ziggy’s By The Sea, Wilmington, NC, USA",12/05/2015,
1672,"13th May 2015 @ Ziggy’s, Winston-Salem, NC, USA",13th May 2015 ," Ziggy’s, Winston-Salem, NC, USA",13/05/2015,
1673,"14th May 2015 @ 3rd & Lindsley’s, Nashville, TN, USA",14th May 2015 ," 3rd & Lindsley’s, Nashville, TN, USA",14/05/2015,
1674,"15th May 2015 @ The Mercury Ballroom, Louisville, KY, USA",15th May 2015 ," The Mercury Ballroom, Louisville, KY, USA",15/05/2015,
1675,"17th May 2015 @ Hangout Festival, Gulf Shores, AL, USA",17th May 2015 ," Hangout Festival, Gulf Shores, AL, USA",17/05/2015,
1676,"18th May 2015 @ Loony Tunes Records, West Babylon, NY, USA",18th May 2015 ," Loony Tunes Records, West Babylon, NY, USA",18/05/2015,
1677,"19th May 2015 @ Grand Victory, Williamsburg, NY, USA",19th May 2015 ," Grand Victory, Williamsburg, NY, USA",19/05/2015,
1678,"21st May 2015 @ Madame Siam, Hollywood, CA, USA",21st May 2015 ," Madame Siam, Hollywood, CA, USA",21/05/2015,
1679,"22nd May 2015 @ Salzers Records, Ventura, CA, USA",22nd May 2015 ," Salzers Records, Ventura, CA, USA",22/05/2015,
1680,"23rd May 2015 @ Punk Rock Bowling, Las Vegas, NV, USA",23rd May 2015 ," Punk Rock Bowling, Las Vegas, NV, USA",23/05/2015,
1681,"29th May 2015 @ Hay Festival, Hay-On-Wye, Wales, UK",29th May 2015 ," Hay Festival, Hay-On-Wye, Wales, UK",29/05/2015,
1682,"4th June 2015 @ Den Atelier, Luxembourg",4th June 2015 ," Den Atelier, Luxembourg",04/06/2015,
1683,"5th June 2015 @ Rock Im Park Festival, Nurnberg, Germany",5th June 2015 ," Rock Im Park Festival, Nurnberg, Germany",05/06/2015,
1684,"7th June 2015 @ Rock Am Ring Festival, Mendig, Germany",7th June 2015 ," Rock Am Ring Festival, Mendig, Germany",07/06/2015,
1685,"8th June 2015 @ Conrad Sohn, Dornbirn, Austria",8th June 2015 ," Conrad Sohn, Dornbirn, Austria",08/06/2015,
1686,"9th June 2015 @ Weekender, Innsbruck, Austria",9th June 2015 ," Weekender, Innsbruck, Austria",09/06/2015,
1687,"10th June 2015 @ Rockhouse, Salzburg, Austria",10th June 2015 ," Rockhouse, Salzburg, Austria",10/06/2015,
1688,"12th June 2015 @ Rock In Lahn Festival, Merano, Italy",12th June 2015 ," Rock In Lahn Festival, Merano, Italy",12/06/2015,
1689,"13th June 2015 @ Novarock Festival, Nickelsdorf, Austria",13th June 2015 ," Novarock Festival, Nickelsdorf, Austria",13/06/2015,
1690,"14th June 2015 @ Pinkpop Festival, Landgraaf, Netherlands",14th June 2015 ," Pinkpop Festival, Landgraaf, Netherlands",14/06/2015,
1691,"16th June 2015 @ Ramones Museum, Berlin, Germany",16th June 2015 ," Ramones Museum, Berlin, Germany",16/06/2015,
1692,"16th June 2015 @ Ramones Museum, Berlin, Germany",16th June 2015 ," Ramones Museum, Berlin, Germany",16/06/2015,
1693,"22nd June 2015 @ InMusic Festival, Zagreb, Croatia",22nd June 2015 ," InMusic Festival, Zagreb, Croatia",22/06/2015,
1694,"23rd June 2015 @ Circolo Magnolia, Milano, Italy",23rd June 2015 ," Circolo Magnolia, Milano, Italy",23/06/2015,
1695,"25th June 2015 @ Open Air Festival, St Gallen, Switzerland",25th June 2015 ," Open Air Festival, St Gallen, Switzerland",25/06/2015,
1696,"26th June 2015 @ Strummerville Campfire, Glastonbury Festival, UK",26th June 2015 ," Strummerville Campfire, Glastonbury Festival, UK",26/06/2015,
1697,"27th June 2015 @ The Other Stage, Glastonbury Festival, UK",27th June 2015 ," The Other Stage, Glastonbury Festival, UK",27/06/2015,
1698,"27th June 2015 @ The Leftfield, Glastonbury Festival, UK",27th June 2015 ," The Leftfield, Glastonbury Festival, UK",27/06/2015,
1699,"27th June 2015 @ Meonfest, Hampshire, UK",27th June 2015 ," Meonfest, Hampshire, UK",27/06/2015,
1700,"5th July 2015 @ Gianluca’s House, Naples, Italy",5th July 2015 ," Gianluca’s House, Naples, Italy",05/07/2015,
1701,"17th July 2015 @ Latitude Festival, Suffolk, UK",17th July 2015 ," Latitude Festival, Suffolk, UK",17/07/2015,
1702,"18th July 2015 @ Benicassim Festival, Valencia, Spain",18th July 2015 ," Benicassim Festival, Valencia, Spain",18/07/2015,
1703,"30th July 2015 @ The Monarch, Camden, London, UK",30th July 2015 ," The Monarch, Camden, London, UK",30/07/2015,
1704,"31st July 2015 @ Cambridge Folk Festival, Cambridge, UK",31st July 2015 ," Cambridge Folk Festival, Cambridge, UK",31/07/2015,
1705,"6th August 2015 @ The Hippodrome, Kingston-Upon-Thames, UK",6th August 2015 ," The Hippodrome, Kingston-Upon-Thames, UK",06/08/2015,
1706,"7th August 2015 @ HMV Oxford Street, London, UK",7th August 2015 ," HMV Oxford Street, London, UK",07/08/2015,
1707,"7th August 2015 @ The Garage, Highbury, London, UK",7th August 2015 ," The Garage, Highbury, London, UK",07/08/2015,
1708,"9th August 2015 @ King Tut’s Wah Wah Hut, Glasgow, UK",9th August 2015 ," King Tut’s Wah Wah Hut, Glasgow, UK",09/08/2015,
1709,"10th August 2015 @ HMV Arndale, Manchester, UK",10th August 2015 ," HMV Arndale, Manchester, UK",10/08/2015,
1710,"10th August 2015 @ Night & Day Cafe, Manchester, UK",10th August 2015 ," Night & Day Cafe, Manchester, UK",10/08/2015,
1711,"11th August 2015 @ Rise Records, Worcester, UK",11th August 2015 ," Rise Records, Worcester, UK",11/08/2015,
1712,"11th August 2015 @ Rise Records, Bristol, UK",11th August 2015 ," Rise Records, Bristol, UK",11/08/2015,
1713,"12th August 2015 @ Rough Trade Records, Nottingham, UK",12th August 2015 ," Rough Trade Records, Nottingham, UK",12/08/2015,
1714,"13th August 2015 @ Green Door Store, Brighton, UK",13th August 2015 ," Green Door Store, Brighton, UK",13/08/2015,
1715,"13th August 2015 @ The Railway Inn, Winchester, UK",13th August 2015 ," The Railway Inn, Winchester, UK",13/08/2015,
1716,"15th August 2015 @ Stadion Letzigrund, Zurich, Switzerland",15th August 2015 ," Stadion Letzigrund, Zurich, Switzerland",15/08/2015,
1717,"26th August 2015 @ The Waterfront, Norwich, UK",26th August 2015 ," The Waterfront, Norwich, UK",26/08/2015,
1718,"27th August 2015 @ The Trades Club, Hebden Bridge, UK",27th August 2015 ," The Trades Club, Hebden Bridge, UK",27/08/2015,
1719,"28th August 2015 @ Leeds Festival, UK",28th August 2015 ," Leeds Festival, UK",28/08/2015,
1720,"30th August 2015 @ Reading Festival, UK",30th August 2015 ," Reading Festival, UK",30/08/2015,
1721,"3rd September 2015 @ The Underground, Cologne, Germany",3rd September 2015 ," The Underground, Cologne, Germany",03/09/2015,
1722,"4th September 2015 @ Rock Am See Festival, Konstanz, Germany",4th September 2015 ," Rock Am See Festival, Konstanz, Germany",04/09/2015,
1723,"5th September 2015 @ Strom, Munich, Germany",5th September 2015 ," Strom, Munich, Germany",05/09/2015,
1724,"6th September 2015 @ Kesselhaus, Wiesbaden, Germany",6th September 2015 ," Kesselhaus, Wiesbaden, Germany",06/09/2015,
1725,"8th September 2015 @ Hedi, Hamburg Harbour, Germany",8th September 2015 ," Hedi, Hamburg Harbour, Germany",08/09/2015,
1726,"9th September 2015 @ Escobar, Berlin, Germany",9th September 2015 ," Escobar, Berlin, Germany",09/09/2015,
1727,"11th September 2015 @ Backstage Hotel, Amsterdam, Netherlands",11th September 2015 ," Backstage Hotel, Amsterdam, Netherlands",11/09/2015,
1728,"12th September 2015 @ Gibus, Paris, France",12th September 2015 ," Gibus, Paris, France",12/09/2015,
1729,"15th September 2015 @ Amoeba Records, Hollywood, CA, USA",15th September 2015 ," Amoeba Records, Hollywood, CA, USA",15/09/2015,
1730,"19th September 2015 @ Mr Smalls, Millvale, PA, USA",19th September 2015 ," Mr Smalls, Millvale, PA, USA",19/09/2015,
1731,"20th September 2015 @ Riotfest, Toronto, ON, Canada",20th September 2015 ," Riotfest, Toronto, ON, Canada",20/09/2015,
1732,"22nd September 2015 @ Lost Horizon, Syracuse, NY, USA",22nd September 2015 ," Lost Horizon, Syracuse, NY, USA",22/09/2015,
1733,"23rd September 2015 @ Higher Ground, Burlington, VT, USA",23rd September 2015 ," Higher Ground, Burlington, VT, USA",23/09/2015,
1734,"25th September 2015 @ House Of Blues, Boston, MA, USA",25th September 2015 ," House Of Blues, Boston, MA, USA",25/09/2015,
1735,"26th September 2015 @ Newbury Comics, Cambridge, MA, USA",26th September 2015 ," Newbury Comics, Cambridge, MA, USA",26/09/2015,
1736,"26th September 2015 @ House Of Blues, Boston, MA, USA",26th September 2015 ," House Of Blues, Boston, MA, USA",26/09/2015,
1737,"28th September 2015 @ Irving Plaza, New York, NY, USA",28th September 2015 ," Irving Plaza, New York, NY, USA",28/09/2015,
1738,"29th September 2015 @ Rough Trade, Brooklyn, NY, USA",29th September 2015 ," Rough Trade, Brooklyn, NY, USA",29/09/2015,
1739,"29th September 2015 @ Irving Plaza, New York, NY, USA",29th September 2015 ," Irving Plaza, New York, NY, USA",29/09/2015,
1740,"30th September 2015 @ Irving Plaza, New York, NY, USA",30th September 2015 ," Irving Plaza, New York, NY, USA",30/09/2015,
1741,"2nd October 2015 @ The Fillmore, Philadelphia, PA, USA",2nd October 2015 ," The Fillmore, Philadelphia, PA, USA",02/10/2015,
1742,"3rd October 2015 @ The Sound Garden, Baltimore, MD, USA",3rd October 2015 ," The Sound Garden, Baltimore, MD, USA",03/10/2015,
1743,"3rd October 2015 @ Rams Head Live, Baltimore, MD, USA",3rd October 2015 ," Rams Head Live, Baltimore, MD, USA",03/10/2015,
1744,"4th October 2015 @ 930 Club, Washington, DC, USA",4th October 2015 ," 930 Club, Washington, DC, USA",04/10/2015,
1745,"6th October 2015 @ House Of Blues, Chicago, IL, USA",6th October 2015 ," House Of Blues, Chicago, IL, USA",06/10/2015,
1746,"7th October 2015 @ Electric Fetus Records, Minneapolis, MN, USA",7th October 2015 ," Electric Fetus Records, Minneapolis, MN, USA",07/10/2015,
1747,"7th October 2015 @ Varsity Theatre, Minneapolis, MN, USA",7th October 2015 ," Varsity Theatre, Minneapolis, MN, USA",07/10/2015,
1748,"9th October 2015 @ Twist & Shout Records, Denver, CO, USA",9th October 2015 ," Twist & Shout Records, Denver, CO, USA",09/10/2015,
1749,"9th October 2015 @ Ogden Theater, Denver, CO, USA",9th October 2015 ," Ogden Theater, Denver, CO, USA",09/10/2015,
1750,"10th October 2015 @ Boulder Theater, Boulder, CO, USA",10th October 2015 ," Boulder Theater, Boulder, CO, USA",10/10/2015,
1751,"11th October 2015 @ Surfside 7, Fort Collins, CO, USA",11th October 2015 ," Surfside 7, Fort Collins, CO, USA",11/10/2015,
1752,"12th October 2015 @ Gray Whale Music, Salt Lake City, UT, USA",12th October 2015 ," Gray Whale Music, Salt Lake City, UT, USA",12/10/2015,
1753,"12th October 2015 @ Urban Lounge, Salt Lake City, UT, USA",12th October 2015 ," Urban Lounge, Salt Lake City, UT, USA",12/10/2015,
1754,"13th October 2015 @ Knitting Factory, Boise, ID, USA",13th October 2015 ," Knitting Factory, Boise, ID, USA",13/10/2015,
1755,"14th October 2015 @ Play Network, Seattle, WA, USA",14th October 2015 ," Play Network, Seattle, WA, USA",14/10/2015,
1756,"15th October 2015 @ East Street Records, Seattle, WA, USA",15th October 2015 ," East Street Records, Seattle, WA, USA",15/10/2015,
1757,"15th October 2015 @ Neptune Theater, Seattle, WA, USA",15th October 2015 ," Neptune Theater, Seattle, WA, USA",15/10/2015,
1758,"16th October 2015 @ Knitting Factory, Spokane, WA, USA",16th October 2015 ," Knitting Factory, Spokane, WA, USA",16/10/2015,
1759,"17th October 2015 @ Music Millennium, Portland, OR, USA",17th October 2015 ," Music Millennium, Portland, OR, USA",17/10/2015,
1760,"17th October 2015 @ The Roseland Theatre, Portland, OR, USA",17th October 2015 ," The Roseland Theatre, Portland, OR, USA",17/10/2015,
1761,"19th October 2015 @ Ace Of Spades, Sacramento, CA, USA",19th October 2015 ," Ace Of Spades, Sacramento, CA, USA",19/10/2015,
1762,"20th October 2015 @ YouTube HQ, San Bruno, CA, USA",20th October 2015 ," YouTube HQ, San Bruno, CA, USA",20/10/2015,
1763,"20th October 2015 @ The Fillmore, San Francisco, CA, USA",20th October 2015 ," The Fillmore, San Francisco, CA, USA",20/10/2015,
1764,"21st October 2015 @ Musicians Institute, Los Angeles, CA, USA",21st October 2015 ," Musicians Institute, Los Angeles, CA, USA",21/10/2015,
1765,"22nd October 2015 @ The Mayan, Los Angeles, CA, USA",22nd October 2015 ," The Mayan, Los Angeles, CA, USA",22/10/2015,
1766,"23rd October 2015 @ House Of Blues, San Diego, CA, USA",23rd October 2015 ," House Of Blues, San Diego, CA, USA",23/10/2015,
1767,"24th October 2015 @ Fingerprints Records, Long Beach, CA, USA",24th October 2015 ," Fingerprints Records, Long Beach, CA, USA",24/10/2015,
